measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,148,Morocco,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2023,7340.195618301648,10431.26329659777,4659.016335869653
1,Deaths,148,Morocco,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,2023,0.026249700027249023,0.036946947916533336,0.016484336753295192
1,Deaths,148,Morocco,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,2023,19.88960071468677,28.26541317261264,12.624455731479701
1,Deaths,27,Samoa,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2023,108.16223163015326,151.46213969594834,76.71518290689038
1,Deaths,27,Samoa,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,2023,0.07765365509057275,0.1086288275090047,0.05636379924932047
1,Deaths,27,Samoa,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,2023,49.341005695461575,69.09338116227616,34.99561926274108
1,Deaths,45,Bulgaria,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2023,2123.787203590088,2402.157298339501,1914.9281524465391
1,Deaths,45,Bulgaria,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,2023,0.020843800927798143,0.023471369262358672,0.0187964497478173
1,Deaths,45,Bulgaria,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,2023,30.661091194700724,34.67991701988757,27.645795498820334
1,Deaths,131,Nicaragua,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2023,1436.8201347570089,1765.9221117791221,1184.379583753174
1,Deaths,131,Nicaragua,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,2023,0.04879039418928596,0.06121218035923332,0.041318547014077445
1,Deaths,131,Nicaragua,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,2023,21.0956559735467,25.927591383921996,17.389277639246654
1,Deaths,149,Palestine,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2023,485.6884700967873,675.0468864208423,376.9939367704513
1,Deaths,149,Palestine,3,Both,22,All ages,508,Chronic respiratory diseases,2,Percent,2023,0.01274822992712144,0.0181265172417807,0.009822357950750085
1,Deaths,149,Palestine,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,2023,8.980637372253902,12.481974906685664,6.970817810435465
1,Deaths,349,Greenland,3,Both,22,All ages,508,Chronic respiratory diseases,1,Number,2023,43.590887680753234,54.40013305972619,33.55813862054861
